No,Preprocessed Violent toxic words,Sentiment Value
2500,shittings,Negative
2501,shitty,Negative
2502,skank,Negative
2503,slope,Negative
2504,slut,Negative
2505,slut bucket,Negative
2506,slut,Negative
2507,smegma,Negative
2508,smut,Negative
2509,snatch,Negative
2510,son | | | bitch,Negative
2511,spac,Negative
2512,spunk,Negative
2513,t1tt1e5,Negative
2514,t1tties,Negative
2515,teets,Negative
2516,teez,Negative
2517,testical,Negative
2518,testicle,Negative
2519,tit,Negative
2520,tit wank,Negative
2521,titfuck,Negative
2522,tit,Negative
2523,titt,Negative
2524,tittie5,Negative
2525,tittiefucker,Negative
2526,titty,Negative
2527,tittyfuck,Negative
2528,tittywank,Negative
2529,titwank,Negative
2530,tosser,Negative
2531,turd,Negative
2532,tw4t,Negative
2533,twat,Negative
2534,twathead,Negative
2535,twatty,Negative
2536,twunt,Negative
2537,twunter,Negative
2538,v14gra,Negative
2539,v1gra,Negative
2540,vagina,Negative
2541,viagra,Negative
2542,vulva,Negative
2543,w00se,Negative
2544,wang,Negative
2545,wank,Negative
2546,wanker,Negative
2547,wanky,Negative
2548,whoar,Negative
2549,whore,Negative
2550,willy,Negative
2551,willy,Negative
2552,wtf,Negative
2553,xrated,Negative
2554,xx,Negative
2555,jigaboo,Negative
2556,mound venus,Negative
2557,asslover,Negative
2558,sandm,Negative
2559,queaf,Negative
2560,whitetrash,Negative
2561,meatrack,Negative
2562,ra8s,Negative
2563,pimp,Negative
2564,urine,Negative
2565,whit,Negative
2566,randy,Negative
2567,herpes,Negative
2568,niglet,Negative
2569,narcotic,Negative
2570,pudboy,Negative
2571,rim,Negative
2572,boner,Negative
2573,pornography,Negative
2574,poop chute,Negative
2575,israel,Negative
2576,dong,Negative
2577,slanteye,Negative
2578,muffdiving,Negative
2579,jiggabo,Negative
2580,assassination,Negative
2581,peepshpw,Negative
2582,popimp,Negative
2583,girl,Negative
2584,testicle,Negative
2585,lay,Negative
2586,molestor,Negative
2587,peni5,Negative
2588,tranny,Negative
2589,barface,Negative
2590,hell,Negative
2591,arsehole,Negative
2592,piss,Negative
2593,sixsixsix,Negative
2594,execute,Negative
2595,shitty,Negative
2596,conspiracy,Negative
2597,hamas,Negative
2598,cunilingus,Negative
2599,bitcher,Negative
2600,muslim,Negative
2601,pee,Negative
2602,niggle,Negative
2603,muffindiver,Negative
2604,cocksman,Negative
2605,scag,Negative
2606,arouse,Negative
2607,niggle,Negative
2608,fingerfucker,Negative
2609,nlggor,Negative
2610,niggaz,Negative
2611,assfuck,Negative
2612,slant,Negative
2613,urinate,Negative
2614,mothafucked,Negative
2615,fungus,Negative
2616,retard,Negative
2617,gummer,Negative
2618,venus mound,Negative
2619,alla,Negative
2620,spaghettinigger,Negative
2621,piss,Negative
2622,mickeyfinn,Negative
2623,fucker,Negative
2624,jizzim,Negative
2625,tramp,Negative
2626,quashie,Negative
2627,prince albert pierce,Negative
2628,hardon,Negative
2629,menage trois,Negative
2630,bukkake,Negative
2631,shag,Negative
2632,australian,Negative
2633,rape,Negative
2634,buggery,Negative
2635,deth,Negative
2636,weenie,Negative
2637,lickme,Negative
2638,reverse cowgirl,Negative
2639,tonguetramp,Negative
2640,cum,Negative
2641,copulate,Negative
2642,gun,Negative
2643,schlong,Negative
2644,cunn,Negative
2645,damnit,Negative
2646,crackpipe,Negative
2647,buttmuncher,Negative
2648,cameltoe,Negative
2649,camgirl,Negative
2650,hotpussy,Negative
2651,cuntfucker,Negative
2652,slave,Negative
2653,slut,Negative
2654,ball lick,Negative
2655,hentai,Negative
2656,jackshit,Negative
2657,dickman,Negative
2658,doo,Negative
2659,gook,Negative
2660,crime,Negative
2661,ho,Negative
2662,bomd,Negative
2663,shitdick,Negative
2664,slapper,Negative
2665,urinary,Negative
2666,tantra,Negative
2667,nookie,Negative
2668,fuckedup,Negative
2669,gubba,Negative
2670,niggur,Negative
2671,cybersex,Negative
2672,dicklicker,Negative
2673,cunillingus,Negative
2674,hitlerism,Negative
2675,butt,Negative
2676,triplex,Negative
2677,busty,Negative
2678,dicklick,Negative
2679,kunilingus,Negative
2680,asian,Negative
2681,tonguethrust,Negative
2682,fistfucking,Negative
2683,assmonkey,Negative
2684,criminal,Negative
2685,cockknob,Negative
2686,koon,Negative
2687,child 's,Negative
2688,shit,Negative
2689,footfucker,Negative
2690,blonde action,Negative
2691,spitter,Negative
2692,weapon,Negative
2693,dive,Negative
2694,cumm,Negative
2695,cuntlicking,Negative
2696,sexy | slim,Negative
2697,lemon party,Negative
2698,vibrater,Negative
2699,upskirt,Negative
2700,jijjiboo,Negative
2701,fuckfriend,Negative
2702,pthc,Negative
2703,mothafucka,Negative
2704,snigger,Negative
2705,buttfuckers,Negative
2706,nutfucker,Negative
2707,peehole,Negative
2708,taboo,Negative
2709,erection,Negative
2710,nudity,Negative
2711,bast,Negative
2712,lesbayn,Negative
2713,hummer,Negative
2714,shortfuck,Negative
2715,cherrypopper,Negative
2716,adult,Negative
2717,palestinian,Negative
2718,pussylips,Negative
2719,nooner,Negative
2720,kill,Negative
2721,blumpkin,Negative
2722,stiffy,Negative
2723,piss pig,Negative
2724,beastiality,Negative
2725,latin,Negative
2726,butchbabes,Negative
2727,spunk,Negative
2728,gross,Negative
2729,xx,Negative
2730,crackwhore,Negative
2731,butt | fucker,Negative
2732,kraut,Negative
2733,poop,Negative
2734,style doggy,Negative
2735,lactate,Negative
2736,fecal,Negative
2737,rusty trombone,Negative
2738,wrinkle starfish,Negative
2739,spigotty,Negative
2740,dink,Negative
2741,clogwog,Negative
2742,whitey,Negative
2743,die,Negative
2744,radical,Negative
2745,slaughter,Negative
2746,bollick,Negative
2747,sodomite,Negative
2748,ball,Negative
2749,nimphomania,Negative
2750,ball gag,Negative
2751,poof,Negative
2752,muff diver,Negative
2753,jail bait,Negative
2754,beaver,Negative
2755,asspirate,Negative
2756,bareback,Negative
2757,pimpjuice,Negative
2758,ballsack,Negative
2759,bi | sexual,Negative
2760,torture,Negative
2761,limey,Negative
2762,nookey,Negative
2763,breastman,Negative
2764,loser,Negative
2765,kill,Negative
2766,lesbo,Negative
2767,beatyourmeat,Negative
2768,lovemaking,Negative
2769,munt,Negative
2770,clitoris,Negative
2771,fornicate,Negative
2772,wet dream,Negative
2773,double penetration,Negative
2774,missionary position,Negative
2775,bugger,Negative
2776,lovejuice,Negative
2777,date rape,Negative
2778,eatballs,Negative
2779,handjob,Negative
2780,nlgger,Negative
2781,dixiedyke,Negative
2782,junglebunny,Negative
2783,sonofabitch,Negative
2784,goddamned,Negative
2785,deep throat,Negative
2786,jism,Negative
2787,assclown,Negative
2788,shitforbrains,Negative
2789,screwyou,Negative
2790,ethiopian,Negative
2791,nastyslut,Negative
2792,gang bang,Negative
2793,lubejob,Negative
2794,tie,Negative
2795,come,Negative
2796,rimjob,Negative
2797,sexfarm,Negative
2798,tight white,Negative
2799,lezbe,Negative
2800,lezbo,Negative
2801,tribadism,Negative
2802,butt | bang,Negative
2803,asskiss,Negative
2804,sadism,Negative
2805,biteme,Negative
2806,angie,Negative
2807,abortion,Negative
2808,murderer,Negative
2809,motherfucker,Negative
2810,sextoy,Negative
2811,2g1c,Negative
2812,doggy style,Negative
2813,cunntt,Negative
2814,cooly,Negative
2815,ball sack,Negative
2816,sodom,Negative
2817,slideitin,Negative
2818,fudge packer,Negative
2819,fatfuck,Negative
2820,god,Negative
2821,gipp,Negative
2822,communist,Negative
2823,felatio,Negative
2824,libido,Negative
2825,xtc,Negative
2826,cuntfuck,Negative
2827,niggardly,Negative
2828,fuckface,Negative
2829,faggot,Negative
2830,protestant,Negative
2831,trailertrash,Negative
2832,headfuck,Negative
2833,shav,Negative
2834,dickweed,Negative
2835,refugee,Negative
2836,trannie,Negative
2837,giant cock,Negative
2838,sexhound,Negative
2839,slut,Negative
2840,dead,Negative
2841,titlover,Negative
2842,wank,Negative
2843,moslem,Negative
2844,krappy,Negative
2845,black cock,Negative
2846,idiot,Negative
2847,tortur,Negative
2848,erotic,Negative
2849,donkey punch,Negative
2850,dirty pillow,Negative
2851,cockcowboy,Negative
2852,sucker,Negative
2853,cocktail,Negative
2854,doom,Negative
2855,hymen,Negative
2856,vibr,Negative
2857,terrorist,Negative
2858,mufflikcer,Negative
2859,phonesex,Negative
2860,teste,Negative
2861,pisshead,Negative
2862,slime,Negative
2863,brea5t,Negative
2864,tea bag,Negative
2865,slutt,Negative
2866,cumbubble,Negative
2867,blackout,Negative
2868,hijack,Negative
2869,premature,Negative
2870,sextogo,Negative
2871,arse,Negative
2872,racist,Negative
2873,jimfish,Negative
2874,flydye,Negative
2875,juggs,Negative
2876,jade,Negative
2877,wigger,Negative
2878,niggard 's,Negative
2879,jigg,Negative
2880,dumb,Negative
2881,devilworshipper,Negative
2882,,Negative
2883,gatorbait,Negative
2884,murder,Negative
2885,chinese,Negative
2886,fastfuck,Negative
2887,spik,Negative
2888,nuke,Negative
2889,bastinado,Negative
2890,kondum,Negative
2891,pansy,Negative
2892,destroy,Negative
2893,ikey,Negative
2894,woman rap,Negative
2895,titfucker,Negative
2896,crime,Negative
2897,swinger,Negative
2898,shitola,Negative
2899,killer,Negative
2900,fart,Negative
2901,booby,Negative
2902,pimpsimp,Negative
2903,coon,Negative
2904,strap,Negative
2905,zigabo,Negative
2906,faith,Negative
2907,bisexual,Negative
2908,gangsta,Negative
2909,teat,Negative
2910,booby,Negative
2911,kafir,Negative
2912,dp action,Negative
2913,jug,Negative
2914,husky,Negative
2915,homoerotic,Negative
2916,twinkie,Negative
2917,spooge,Negative
2918,kink,Negative
2919,sleezebag,Negative
2920,gay,Negative
2921,homo,Negative
2922,slutwhore,Negative
2923,dickless,Negative
2924,cumfest,Negative
2925,israeli,Negative
2926,fuk,Negative
2927,niggardliness,Negative
2928,nigr,Negative
2929,goddamit,Negative
2930,sandnigger,Negative
2931,dope,Negative
2932,insest,Negative
2933,foreskin,Negative
2934,acrotomophilia,Negative
2935,dumbbitch,Negative
2936,fuckmonkey,Negative
2937,pubiclice,Negative
2938,cyberslimer,Negative
2939,titfuck,Negative
2940,cummer,Negative
2941,kumquat,Negative
2942,guy jar,Negative
2943,,Negative
2944,sexo,Negative
2945,carruth,Negative
2946,cocktease,Negative
2947,trisexual,Negative
2948,pric,Negative
2949,rabbi,Negative
2950,gypp,Negative
2951,cunnilingus,Negative
2952,dipshit,Negative
2953,welfare,Negative
2954,arab,Negative
2955,transvestite,Negative
2956,tnt,Negative
2957,penile,Negative
2958,mothafuckings,Negative
2959,peckerwood,Negative
2960,enemy,Negative
2961,negroid,Negative
2962,genital,Negative
2963,gangbanger,Negative
2964,queef,Negative
2965,strapon,Negative
2966,thicklips,Negative
2967,female squirt,Negative
2968,flydie,Negative
2969,crab,Negative
2970,christ,Negative
2971,ejaculate,Negative
2972,carpet muncher,Negative
2973,lucifer,Negative
2974,butchdyke,Negative
2975,vatican,Negative
2976,skumbag,Negative
2977,horseshit,Negative
2978,eunuch,Negative
2979,dickforbrains,Negative
2980,bondage,Negative
2981,kumbullbe,Negative
2982,crack,Negative
2983,niggerhole,Negative
2984,niggard,Negative
2985,rosy palm,Negative
2986,assranger,Negative
2987,beat |,Negative
2988,bastard,Negative
2989,asspuppies,Negative
2990,jiggerboo,Negative
2991,cuntlick,Negative
2992,pommie,Negative
2993,doggie style,Negative
2994,lezz,Negative
2995,jesuschrist,Negative
2996,nazi,Negative
2997,feltch,Negative
2998,chode,Negative
2999,pleasure chest,Negative
3000,wetback,Negative
3001,zipperhead,Negative
3002,necro,Negative
3003,goddamnmuthafucker,Negative
3004,whiskeydick,Negative
3005,slopy,Negative
3006,executioner,Negative
3007,color,Negative
3008,ethnic,Negative
3009,turnon,Negative
3010,hole,Negative
3011,nofuckingway,Negative
3012,mastrabator,Negative
3013,jack,Negative
3014,orgy,Negative
3015,piss,Negative
3016,blow j,Negative
3017,criminal,Negative
3018,cockqueen,Negative
3019,tosser,Negative
3020,snownigger,Negative
3021,holestuffer,Negative
3022,dipstick,Negative
3023,mofo,Negative
3024,nipplering,Negative
3025,minority,Negative
3026,italiano,Negative
3027,palesimian,Negative
3028,poo,Negative
3029,horn,Negative
3030,rape,Negative
3031,genital,Negative
3032,conservative,Negative
3033,jebus,Negative
3034,bullcrap,Negative
3035,dick,Negative
3036,cumqueen,Negative
3037,spread leg,Negative
3038,cancer,Negative
3039,kaffir,Negative
3040,mocky,Negative
3041,suckmytit,Negative
3042,vorarephilia,Negative
3043,naked,Negative
3044,shited,Negative
3045,nigg,Negative
3046,spermhearder,Negative
3047,whore,Negative
3048,african,Negative
3049,disease,Negative
3050,lovebone,Negative
3051,spreadeagle,Negative
3052,coprolagnia,Negative
3053,hump,Negative
3054,suicide girl,Negative
3055,bong,Negative
3056,pole smoker,Negative
3057,shrimp,Negative
3058,gin,Negative
3059,purinapricness,Negative
3060,sexslave,Negative
3061,big knocker,Negative
3062,iblowu,Negative
3063,pissin,Negative
3064,skank,Negative
3065,lotion,Negative
3066,asshole,Negative
3067,easyslut,Negative
3068,mothafucker,Negative
3069,whiz,Negative
3070,lsd,Negative
3071,cocksucked,Negative
3072,hosejob,Negative
3073,wanker,Negative
3074,cumjockey,Negative
3075,eat ass,Negative
3076,lovegoo,Negative
3077,white,Negative
3078,propaganda,Negative
3079,sexwhore,Negative
3080,cunt,Negative
3081,welcher,Negative
3082,murder,Negative
3083,scum,Negative
3084,phuked,Negative
3085,suckoff,Negative
3086,shithapens,Negative
3087,drug,Negative
3088,auto erotic,Negative
3089,sultry woman,Negative
3090,barenaked,Negative
3091,wetspot,Negative
3092,sixtynine,Negative
3093,wrap man,Negative
3094,buttplug,Negative
3095,jiggy,Negative
3096,alligatorbait,Negative
3097,flange,Negative
3098,shitfit,Negative
3099,dirty,Negative
3100,huge fat,Negative
3101,bulldyke,Negative
3102,orgasm,Negative
3103,bumfuck,Negative
3104,deposit,Negative
3105,big breast,Negative
3106,sexual,Negative
3107,japanese,Negative
3108,suckmyass,Negative
3109,church,Negative
3110,goy,Negative
3111,bohunk,Negative
3112,bigass,Negative
3113,fannyfucker,Negative
3114,gaymuthafuckinwhore,Negative
3115,baby,Negative
3116,girl,Negative
3117,turd,Negative
3118,fuck button,Negative
3119,fag,Negative
3120,pisser,Negative
3121,sandm,Negative
3122,wog,Negative
3123,escort,Negative
3124,octopussy,Negative
3125,tinkle,Negative
3126,snigger,Negative
3127,groe,Negative
3128,vibrator,Negative
3129,dix,Negative
3130,swalow,Negative
3131,chin,Negative
3132,niggle,Negative
3133,asslicker,Negative
3134,molester,Negative
3135,backseat,Negative
3136,geez,Negative
3137,seppo,Negative
3138,sexually,Negative
3139,boong,Negative
3140,voyeur,Negative
3141,butthole,Negative
3142,hoser,Negative
3143,fore,Negative
3144,asswhore,Negative
3145,cocaine,Negative
3146,skanky,Negative
3147,european,Negative
3148,mothafuck,Negative
3149,titlicker,Negative
3150,buttstain,Negative
3151,penis,Negative
3152,spermacide,Negative
3153,mexican,Negative
3154,skankybitch,Negative
3155,white power,Negative
3156,puddboy,Negative
3157,coondog,Negative
3158,stripclub,Negative
3159,mockie,Negative
3160,american,Negative
3161,jesus,Negative
3162,tushy,Negative
3163,kumbubble,Negative
3164,milf,Negative
3165,mormon,Negative
3166,ontherag,Negative
3167,henhouse,Negative
3168,slutty,Negative
3169,big black,Negative
3170,dego,Negative
3171,daterape,Negative
3172,phukked,Negative
3173,cuntlicker,Negative
3174,fail,Negative
3175,lezbefriends,Negative
3176,piss,Negative
3177,bitchy,Negative
3178,pohm,Negative
3179,kigger,Negative
3180,nastywhore,Negative
3181,bangbros,Negative
3182,upthebutt,Negative
3183,cohee,Negative
3184,fistfuck,Negative
3185,fuckingbitch,Negative
3186,shibari,Negative
3187,cigs,Negative
3188,jiggaboo,Negative
3189,japcrap,Negative
3190,raper,Negative
3191,jackass,Negative
3192,orgasim,Negative
3193,sex,Negative
3194,jackoff,Negative
3195,baby batter,Negative
3196,toilet,Negative
3197,tampon,Negative
3198,uk,Negative
3199,porn,Negative
3200,snowball,Negative
3201,goldenshower,Negative
3202,titty,Negative
3203,towelhead,Negative
3204,titjob,Negative
3205,abo,Negative
3206,molestation,Negative
3207,fok,Negative
3208,crapola,Negative
3209,foursome,Negative
3210,suicide,Negative
3211,scrotum,Negative
3212,cumming,Negative
3213,niggerhead,Negative
3214,pussie,Negative
3215,abuse,Negative
3216,analannie,Negative
3217,cocksucking,Negative
3218,breastjob,Negative
3219,blonde action,Negative
3220,paedophile,Negative
3221,kumming,Negative
3222,reestie,Negative
3223,suckme,Negative
3224,willie,Negative
3225,shhit,Negative
3226,titbitnipply,Negative
3227,hot chick,Negative
3228,skankwhore,Negative
3229,fudgepacker,Negative
3230,dragqueen,Negative
3231,deapthroat,Negative
3232,barelylegal,Negative
3233,circlejerk,Negative
3234,shinola,Negative
3235,hooker,Negative
3236,flatulence,Negative
3237,scat,Negative
3238,damn,Negative
3239,mafia,Negative
3240,anus,Negative
3241,gokkun,Negative
3242,argie,Negative
3243,buttpirate,Negative
3244,goregasm,Negative
3245,fagot,Negative
3246,fuks,Negative
3247,redneck,Negative
3248,jiga,Negative
3249,cockhead,Negative
3250,freakfuck,Negative
3251,girl cup,Negative
3252,crotchjockey,Negative
3253,dripdick,Negative
3254,die,Negative
3255,fuckina,Negative
3256,orgy,Negative
3257,phungky,Negative
3258,beaver cleaver,Negative
3259,sexy,Negative
3260,darky,Negative
3261,magicwand,Negative
3262,screw,Negative
3263,dominatrix,Negative
3264,butt | fucker,Negative
3265,neonazi,Negative
3266,fuckpig,Negative
3267,manpaste,Negative
3268,molest,Negative
3269,whiskydick,Negative
3270,lez,Negative
3271,darkie,Negative
3272,rearend,Negative
3273,niggardliness 's,Negative
3274,trojan,Negative
3275,smack,Negative
3276,lapdance,Negative
3277,brunette action,Negative
3278,hindoo,Negative
3279,fourtwenty,Negative
3280,deepthroat,Negative
3281,mole,Negative
3282,hebe,Negative
3283,pommy,Negative
3284,fuckher,Negative
3285,stringer,Negative
3286,cup girl,Negative
3287,peck,Negative
3288,backdoorman,Negative
3289,male squirt,Negative
3290,shiting,Negative
3291,clamdiver,Negative
3292,fairy,Negative
3293,pussylicker,Negative
3294,slav,Negative
3295,nigre,Negative
3296,robber,Negative
3297,horny,Negative
3298,penetration,Negative
3299,phuking,Negative
3300,cigarette,Negative
3301,dyefly,Negative
3302,playboy,Negative
3303,golden shower,Negative
3304,cumshot,Negative
3305,chinamen,Negative
3306,pickaninny,Negative
3307,diddle,Negative
3308,fatah,Negative
3309,bomber,Negative
3310,suckdick,Negative
3311,bigbastard,Negative
3312,pube,Negative
3313,mosshead,Negative
3314,pornking,Negative
3315,terror,Negative
3316,pimper,Negative
3317,fuckbuddy,Negative
3318,period,Negative
3319,catholic,Negative
3320,pistol,Negative
3321,g | spot,Negative
3322,doodoo,Negative
3323,mockey,Negative
3324,funeral,Negative
3325,prickhead,Negative
3326,whop,Negative
3327,allah,Negative
3328,pussyeater,Negative
3329,cocksmith,Negative
3330,execute,Negative
3331,barely legal,Negative
3332,niggarding,Negative
3333,swastika,Negative
3334,bury,Negative
3335,pocho,Negative
3336,nip,Negative
3337,weewee,Negative
3338,whiskey,Negative
3339,beast,Negative
3340,phone sex,Negative
3341,muncher,Negative
3342,fuckhead,Negative
3343,smackthemonkey,Negative
3344,badfuck,Negative
3345,harem,Negative
3346,nigerian,Negative
3347,bastardo,Negative
3348,shoot,Negative
3349,pissoff,Negative
3350,fistfucked,Negative
3351,ginzo,Negative
3352,mattressprincess,Negative
3353,primetime,Negative
3354,undress,Negative
3355,fuckable,Negative
3356,puss,Negative
3357,bbw,Negative
3358,damnation,Negative
3359,jeez,Negative
3360,stroke,Negative
3361,leather restraint,Negative
3362,yankee,Negative
3363,piky,Negative
3364,beastality,Negative
3365,cocksucer,Negative
3366,goddamn,Negative
3367,poopchute,Negative
3368,shitfaced,Negative
3369,dickhead,Negative
3370,gangbang,Negative
3371,masterbate,Negative
3372,pikey,Negative
3373,rosy palm sister,Negative
3374,doggiestyle,Negative
3375,bitch,Negative
3376,desire,Negative
3377,pansy,Negative
3378,dickbrain,Negative
3379,sissy,Negative
3380,felch,Negative
3381,penis,Negative
3382,horney,Negative
3383,buttmunch,Negative
3384,baptist,Negative
3385,assassin,Negative
3386,finger,Negative
3387,cock,Negative
3388,osama,Negative
3389,mothafucking,Negative
3390,republican,Negative
3391,wetb,Negative
3392,freefuck,Negative
3393,rere,Negative
3394,goatse,Negative
3395,transexual,Negative
3396,bunghole,Negative
3397,asshole,Negative
3398,butt | fuck,Negative
3399,nig nog,Negative
3400,snowback,Negative
3401,sniper,Negative
3402,gangbang,Negative
3403,cockfight,Negative
3404,death,Negative
3405,mggor,Negative
3406,skankbitch,Negative
3407,goy,Negative
3408,twat,Negative
3409,masturbate,Negative
3410,usama,Negative
3411,babeland,Negative
3412,dickwad,Negative
3413,cornhole,Negative
3414,nigra,Negative
3415,fuckinright,Negative
3416,blue waffle,Negative
3417,clit,Negative
3418,niggle,Negative
3419,timbernigger,Negative
3420,picaninny,Negative
3421,whorefucker,Negative
3422,yellowman,Negative
3423,ass,Negative
3424,ero,Negative
3425,dommes,Negative
3426,nig,Negative
3427,lolita,Negative
3428,grostulation,Negative
3429,dixiedike,Negative
3430,shitfucker,Negative
3431,hymie,Negative
3432,sheeney,Negative
3433,asswipe,Negative
3434,crash,Negative
3435,vomit,Negative
3436,die,Negative
3437,femdom,Negative
3438,cameljockey,Negative
3439,footfuck,Negative
3440,sonofbitch,Negative
3441,cleveland steamer,Negative
3442,dahmer,Negative
3443,feltcher,Negative
3444,bitch,Negative
3445,fingerfuckers,Negative
3446,buttface,Negative
3447,evl,Negative
3448,dammit,Negative
3449,lovepistol,Negative
3450,twink,Negative
3451,shit,Negative
3452,blind,Negative
3453,reefer,Negative
3454,beaver lip,Negative
3455,motherlovebone,Negative
3456,panty,Negative
3457,fucka,Negative
3458,fatass,Negative
3459,lugan,Negative
3460,devil,Negative
3461,pornflick,Negative
3462,russkie,Negative
3463,fight,Negative
3464,thirdleg,Negative
3465,hore,Negative
3466,jerk,Negative
3467,negro,Negative
3468,moron,Negative
3469,shave beaver,Negative
3470,gonzagas,Negative
3471,drunken,Negative
3472,blackman,Negative
3473,asskisser,Negative
3474,crotchrot,Negative
3475,motherfuckin,Negative
3476,lezzo,Negative
3477,fondle,Negative
3478,slopey,Negative
3479,clusterfuck,Negative
3480,fister,Negative
3481,skankfuck,Negative
3482,condom,Negative
3483,kill,Negative
3484,taff,Negative
3485,shithouse,Negative
3486,cockblock,Negative
3487,hoe,Negative
3488,horny,Negative
3489,kunt,Negative
3490,facefucker,Negative
3491,assmuncher,Negative
3492,bollock,Negative
3493,smut,Negative
3494,stupidfuck,Negative
3495,assmunch,Negative
3496,prostitute,Negative
3497,payo,Negative
3498,poorwhitetrash,Negative
3499,honkey,Negative
3500,fart,Negative
3501,getiton,Negative
3502,bulldike,Negative
3503,rape,Negative
3504,arab,Negative
3505,moky,Negative
3506,futanari,Negative
3507,nigger,Negative
3508,illegal,Negative
3509,hardcore,Negative
3510,skinflute,Negative
3511,throat,Negative
3512,asspacker,Negative
3513,leather straight jacket,Negative
3514,raghead,Negative
3515,crotch,Negative
3516,goo girl,Negative
3517,knob,Negative
3518,buttman,Negative
3519,glazeddonut,Negative
3520,urethra play,Negative
3521,africa,Negative
3522,fairy,Negative
3523,fuckmehard,Negative
3524,shave pussy,Negative
3525,bitchin,Negative
3526,fu,Negative
3527,cock,Negative
3528,fucker,Negative
3529,gyppie,Negative
3530,kinkster,Negative
3531,penthouse,Negative
3532,biatch,Negative
3533,wop,Negative
3534,erect,Negative
3535,fag,Negative
3536,fuck,Negative
3537,shitfull,Negative
3538,vaginal,Negative
3539,fraud,Negative
3540,color,Negative
3541,flasher,Negative
3542,filipino,Negative
3543,sexpot,Negative
3544,sexymoma,Negative
3545,boonie,Negative
3546,puke,Negative
3547,buttcheeks,Negative
3548,cacker,Negative
3549,bdsm,Negative
3550,shemale,Negative
3551,porchmonkey,Negative
3552,violet blue,Negative
3553,eatme,Negative
3554,looser,Negative
3555,virgin,Negative
3556,assbagger,Negative
3557,limy,Negative
3558,negro 's,Negative
3559,lesbian,Negative
3560,hustler,Negative
3561,cunteyed,Negative
3562,tarbaby,Negative
3563,nipple,Negative
3564,dumbfuck,Negative
3565,backdoor,Negative
3566,wuzzie,Negative
3567,sadom,Negative
3568,threeway,Negative
3569,pimpjuic,Negative
3570,chinaman,Negative
3571,brown shower,Negative
3572,pubes,Negative
3573,masturbate,Negative
3574,bollock,Negative
3575,bunga,Negative
3576,sodomize,Negative
3577,goddammit,Negative
3578,footstar,Negative
3579,goatcx,Negative
3580,chink,Negative
3581,butthead,Negative
3582,liquor,Negative
3583,spermbag,Negative
3584,jailbait,Negative
3585,beatoff,Negative
3586,incest,Negative
3587,vagina,Negative
3588,urophilia,Negative
3589,niggarded,Negative
3590,kaffer,Negative
3591,rearentry,Negative
3592,motherfucking,Negative
3593,spic,Negative
3594,areola,Negative
3595,harder,Negative
3596,greaseball,Negative
3597,loverocket,Negative
3598,asshore,Negative
3599,perv,Negative
3600,fingerfood,Negative
3601,muff,Negative
3602,shaggin,Negative
3603,commie,Negative
3604,hitler,Negative
3605,burn,Negative
3606,honky,Negative
3607,tongue,Negative
3608,fubar,Negative
3609,oral,Negative
3610,dildo,Negative
3611,abbo,Negative
3612,snigger,Negative
3613,bomb,Negative
3614,omorashi,Negative
3615,pedophile,Negative
3616,spig,Negative
3617,freakyfucker,Negative
3618,swallower,Negative
3619,birdlock,Negative
3620,bigbutt,Negative
3621,nastyho,Negative
3622,goddamnes,Negative
3623,pooperscooper,Negative
3624,bi,Negative
3625,suck,Negative
3626,jizz,Negative
3627,nambla,Negative
3628,puntang,Negative
3629,gay sex,Negative
3630,bootycall,Negative
3631,reject,Negative
3632,enema,Negative
3633,sob,Negative
3634,spankthemonkey,Negative
3635,bugger,Negative
3636,jewish,Negative
3637,wuss,Negative
3638,asslick,Negative
3639,bitch,Negative
3640,strip club,Negative
3641,gringo,Negative
3642,pendy,Negative
3643,tard,Negative
3644,boody,Negative
3645,chocolate rosebud,Negative
3646,buttfuck,Negative
3647,domination,Negative
3648,faeces,Negative
3649,splittail,Negative
3650,clamdigger,Negative
3651,shitlist,Negative
3652,double dong,Negative
3653,niggor,Negative
3654,motherfucked,Negative
3655,slimeball,Negative
3656,pusy,Negative
3657,pedobear,Negative
3658,excrement,Negative
3659,goddamnit,Negative
3660,stagg,Negative
3661,hijack,Negative
3662,sexkitten,Negative
3663,hook,Negative
3664,coolie,Negative
3665,phuq,Negative
3666,servant,Negative
3667,gyppo,Negative
3668,slopehead,Negative
3669,pud,Negative
3670,fingerfuck,Negative
3671,dumbass,Negative
3672,williewanker,Negative
3673,fist,Negative
3674,crapper,Negative
3675,sixtyniner,Negative
3676,fetish,Negative
3677,girl cup,Negative
3678,threesome,Negative
3679,bitchez,Negative
3680,manhater,Negative
3681,pudd,Negative
3682,nympho,Negative
3683,mothafuckin,Negative
3684,shit,Negative
3685,hitlerist,Negative
3686,semen,Negative
3687,pi55,Negative
3688,yaoi,Negative
3689,scissor,Negative
3690,sodomise,Negative
3691,ky,Negative
3692,big tit,Negative
3693,muffdiver,Negative
3694,farty,Negative
3695,nsfw image,Negative
3696,ecchi,Negative
3697,dirty sanchez,Negative
3698,mooncricket,Negative
3699,shite,Negative
3700,boom,Negative
3701,asshat,Negative
3702,fat,Negative
3703,intercourse,Negative
3704,chav,Negative
3705,intheass,Negative
3706,jacktheripper,Negative
3707,felcher,Negative
3708,spaghettibender,Negative
3709,angry,Negative
3710,gaysex,Negative
3711,willy,Negative
3712,addict,Negative
3713,russki,Negative
3714,slimebucket,Negative
